nombre,pep1,pep2,control1,control2
Orlando Matías Bravo Ramírez,53,63,40,66
Rosa Teresa Toro Torres,66,65,49,67
Lucrecia María Fonseca Zúñiga,51,69,46,48
Yolanda Catalina Jara González,58,53,45,51
Ethan Quiroz,43,67,53,48
Nicolás Córdova,57,60,45,59
Eduardo Benjamin Acuña Mansilla,57,45,51,63
Santiago John Ibáñez Reyes,70,63,42,56
Valeska Olga Flores Quezada,63,53,58,56
María Martínez,45,44,46,63
Carolina Araya,42,46,66,50
Verónica María Ahumada Pérez,50,40,54,50
Amalia Caro,40,70,56,62
Máximo Jiménez Rojas,63,53,40,40
Cristina Florencia Pincheira Fuentes,70,61,67,45
Olga Pérez Martínez,64,58,45,49
Camila Marcela Alvarado Maldonado,43,60,53,43
Javier Jorge Salas Roa,68,61,58,45
Eduardo Elías Tello Olivares,63,52,47,70
José Carrasco,56,59,62,69
Esteban Jaime Valenzuela Zúñiga,66,50,65,41
María Agustina Ramírez Arancibia,47,43,67,55
Erwin Benjamín Álvarez Ortega,46,63,65,64
Lilian Castro Gallardo,57,61,45,48
Ignacio César Díaz Miranda,58,53,56,69
Jeannette Irma Ortiz Peña,70,44,41,45
Mario Vargas Muñoz,49,67,66,40
Jonathan Méndez,44,70,47,51
Ángela Catalina Campos Torres,57,50,45,52
Alex Arce,50,40,41,41
Gaspar José Flores Pérez,62,54,42,52
Katherine María Contreras Moreno,65,69,45,65
Elizabeth María Soto Sepúlveda,40,64,62,51
Rodrigo Sobarzo Fernández,46,61,56,64
Luz Ximena Correa Salazar,43,55,59,41
Carolina Palma Quezada,40,60,55,50
Pamela María Ponce Mellado,64,59,70,53
Mateo González,69,70,57,46
Felipe Julián Silva Poblete,51,64,61,62
Saúl Juan Torres Iturra,43,57,44,42
Juan Mauricio Rojas Espinoza,55,45,68,70
Carlos Quezada Gutiérrez,50,47,46,45
Zulema Estay-Paredes,45,49,44,57
Carolina Guajardo Suazo,42,56,62,40
Gaspar Luciano Toro Silva,44,40,61,55
Stefano Francisco Bravo Alfaro,68,45,66,59
Belén Novoa Vivanco,69,65,67,43
Waldo Néstor Bravo Ortiz,48,56,64,52
Ana Carmen Tapia Mora,42,65,64,70
Justo Molina Donoso,54,53,45,47
Norma Lagos Moraga,69,68,45,40
Guido Meza,51,50,45,52
José Campos Espinoza,45,45,58,61
María Marianela Valenzuela Bustamante,66,56,68,47
Ernesto Márquez Carrasco,70,53,56,62
Matías Fernández Castillo,53,50,43,42
Daniel Pacheco Lobos,60,54,63,46
Magali Cárdenas Alvarado,60,59,58,46
Mariana Carmela Martínez-Romero Retamal,63,44,56,68
Carmen Cortés,47,50,58,49
Juan Pablo Cuevas Mancilla,44,57,56,62
Samuel Sepúlveda González,64,61,68,65
Waldo Vega Herrera,41,48,64,53
María Elizabeth Rivas Navarro,41,51,65,56
Luis Germán Miranda Gajardo,57,58,43,60
Nora López,64,42,44,51
Emilio Francisco Quintanilla Araya,68,62,60,41
Judith Marisol Oliva Cortés,48,63,54,61
José Alex Barría Mardones,51,52,49,54
María Inés González Núñez,59,48,49,63
Trinidad Melo Paz,55,55,41,48
José Carlos Guzmán Cuevas,54,40,47,51
Hernán Álvaro Cárdenas Morales,44,69,40,61
Ian Wladimir Muñoz Bello,60,65,69,42
Constanza Galdames Parada,40,43,59,67
Héctor Guillermo González Tello,46,67,52,55
Nicole Ana Ibarra Abarca,45,48,51,46
Diego Mejías,68,49,63,50
Jorge Diego Díaz Martínez,67,52,42,59
Gabriel López González,49,51,65,67
Luis Guerra,41,53,46,45
Claudina Castro Becerra,42,44,66,49
Gloria Javiera Rodríguez Aliaga,47,50,53,46
Maribel Patricia Ponce Toledo,40,44,43,70
Alice Yolanda Peña Silva,56,41,65,50
Roberto Alexander Andrade Villarroel,52,50,67,41
Julián Álvaro Barrera Bustamante,47,43,55,44
Carmen Miranda Herrera,58,46,48,58
Rafael Cabrera,57,51,45,63
Juan Oscar Quezada Rivera,49,41,67,67
Rosalía Díaz-Barros,42,43,56,46
Sylvia Castillo,57,56,61,70
Jesús Rodríguez González,53,56,40,64
Valentina Aguayo,56,44,58,57
José Cornejo,50,58,64,65
José Pacheco Soto,68,45,54,53
Sergio Carlos Carrasco Pizarro,54,40,51,61
Sara Lillo Salazar,40,67,52,51
Rodrigo Orrego Sandoval,61,66,57,61
Matteo Mario Beltrán Bravo,59,40,50,55
Javiera Ana Ortiz García,54,41,50,50
Constanza Sánchez González,52,65,49,44
Augusto Jorge Salazar González,52,58,59,41
Martina Paula Sánchez Salazar,58,43,55,70
Mauro Villagra Bravo,43,43,59,45
Vicente Navarrete León,41,70,41,49
Paulina Rosa Muñoz Hernández,66,46,56,43
Marcelo Muñoz,54,55,55,41
Rolando Eduardo Guerrero Vargas,53,47,68,47
Gaspar Alejandro Canales Velásquez,50,63,65,45
Benjamín Segundo Vergara Bahamonde,52,58,57,47
Luz Uribe Jara,61,55,69,45
Vicente Angulo,68,46,57,58
Katherine Barría Gutiérrez,69,57,60,46
Simón Vladimir Soto González,45,61,63,54
Claudio Cisternas Santos,67,64,40,60
Claudia Toledo Troncoso,46,42,65,68
Jonathan Jair Pacheco Fuentes,64,42,57,65
Alejandra Noemí Pardo Letelier,43,43,48,58
Daniela Macarena Reyes Monsalve,47,46,48,47
Leontina Neira Pineda,55,51,63,62
Roberto James Cabrera García,54,61,52,57
Luis Alex Carrasco Alarcón,47,60,54,67
Magdalena Cecilia Vega Gallardo,66,69,56,43
Bastián David Contreras Cepeda,56,40,56,69
Isidora Mia Yáñez Mora,57,69,61,51
Carmen Ruiz Briones,47,52,55,61
Irene Correa,42,53,54,43
Santiago Víctor Díaz Aguilar,50,47,54,49
Myriam Peña-Muñoz,53,58,43,45
Karen Toro,46,63,59,69
Cristóbal Julián García Galaz,52,48,58,68
Javiera Meza López,60,64,65,45
Wilson Ceballos,60,40,56,63
Fernando Martínez,63,48,40,65
Maricela Figueroa,70,55,68,50
Rafael Belmar,62,60,46,65
Yasna Cancino-Aros Garrido,60,49,40,63
Digna Viviana Delgado González,52,51,46,69
José Diego Castro Rodríguez,57,48,47,42
Manuel Cruz,69,65,46,48
Josefina Rosa Flores Tapia,69,57,40,40
María Arenas,44,58,58,65
Cornelio William Rodríguez Mora,69,65,44,50
Thomas Bustamante Marambio,46,44,66,59
María Margarita Salinas Meza,59,49,56,49
Magdalena Rivas Ojeda,40,46,53,52
Armando Almonacid Barrientos,69,61,58,52
Martina Jessica Tapia Ramírez,65,60,60,63
Pedro Piña,61,65,54,58
Camilo Marcos González Contreras,57,48,56,49
Juan Campos Fernández,57,42,61,55
Patricio Raúl Vergara Díaz,67,62,55,69
José Maldonado González,60,45,68,53
Nancy María Guerrero Cabezas,41,62,43,63
Tiare González Plaza,68,66,43,48
Norberto Barrientos,61,50,68,53
María Barrios Pérez,63,52,55,42
Alonso Sergio Vega Cárdenas,52,62,60,43
Marlene Fernández,63,53,47,59
Luis Marcos Pérez Riveros,40,64,54,44
Víctor Ríos Cisternas,60,40,51,45
María Teresa Alegría Cáceres,66,61,48,69
Moisés Manuel Silva Zepeda,44,52,45,49
Felipe Víctor Cartes Rubio,50,60,59,50
Cesar Olivares Allende,53,41,51,47
Amaro Valenzuela,62,59,67,54
Luis Simón Aguirre Zamora,40,51,61,52
María Martina Zamora González,55,44,59,64
Juana Isidora Farías Hernández,64,51,67,62
Emilio Figueroa,66,58,66,68
Erik Zamora Parra,49,65,57,44
Vanessa Karen Muñoz Catalán,55,54,62,40
Carolina Fernanda Ramírez Riffo,54,64,51,47
Marcela Rosa Guzmán Zavala,53,55,47,59
María Belmar,56,50,55,49
Rosa Serrano,66,59,47,68
Karen Jara Mondaca,53,50,69,43
María Ana Becerra Gómez,44,45,57,41
Vicente Adolfo Godoy Silva,64,62,61,70
Sonia Valderrama Orellana,64,43,64,52
Leonardo Andrés Peñaloza González,44,51,42,46
Pablo José Román Muñoz,61,46,40,43
Katherine Rafaela Fuentes Valdés,50,48,58,47
Joaquín Burgos Soto,60,57,59,48
María Naranjo Monsalve,70,59,58,49
Anahí Rozas Sepúlveda,51,50,52,40
María Julieta Bobadilla-Morales Bustamante,58,43,58,54
Sofía Clara Vilches Jaque,54,60,50,47
Catherine Juana Poblete Moraga,48,43,45,61
Claudia Valdés Sáez,49,61,41,56
Ximena María Retamales González,44,44,56,46
Margarita Isabel Castro Vargas,62,48,46,67
Ezequiel Manuel Hernández Muñoz,48,69,51,41
Carol Sepúlveda Parra,42,69,62,69
Marcia Catalina Acosta Farías,44,65,63,47
Teresa González Martínez,62,70,41,65
Marisol Catalina Salgado Orellana,66,44,40,41
Rosa Edith Jaramillo Castillo,44,52,53,58
Emilio Fuentealba,53,40,45,70
Caroline Michelle Mardones Arredondo,44,61,56,56
María Farías Medina,44,55,66,43
Moisés Maximiliano Collao Riveros,51,63,42,63
José Leyton Álvarez,44,40,42,65
Monserrat Ana Barrios Rosales,67,51,44,69
Sofía Riquelme Sepúlveda,51,50,70,46
Hugo Alejandro Figueroa Vergara,49,46,57,50
Brígida Riquelme,52,42,50,45
Facundo Diego Morales Ovalle,48,55,69,57
Eduardo López Miranda,45,57,62,44
Adela María Rodríguez Garrido,52,40,54,44
Margarita Aída Lillo Calderón,68,68,48,44
Tomás Araneda Mansilla,64,61,44,57
Olivia Ida Ampuero Tapia,63,59,48,69
Esteban Tomas Gutiérrez Peña,62,48,49,62
Sonia Paola Toledo Videla,40,56,58,51
Florencia Sepúlveda,62,52,57,46
Jean Francisco Toro Bernal,52,43,68,69
Benjamin Elian Díaz Beltrán,43,60,57,45
Antonia Catalina Espinoza Córdova,54,65,56,45
Rodrigo Jhon Morán Cortés,42,61,66,58
Gaspar Rigoberto Ramírez Rodríguez,43,65,43,53
Dante Ruz,44,70,64,63
José Alfonso Miranda Hernández,41,54,60,43
Brandon Patricio Yáñez Fuentes,52,48,49,44
Sabina Luciana Barrientos Poblete,56,56,47,65
Emilia Danitza Opazo Cortés,69,63,45,60
José Franklin Flores Arévalo,43,53,44,48
Joaquín Jorge Vásquez Morales,47,65,43,61
Angelo Francisco Alarcón Sandoval,50,61,52,57
María Paula Toloza Pinto,70,65,63,58
Enrique Luis Cabrera Cárdenas,65,48,46,51
Miguel José Peña Fuentes,52,49,40,49
David Sandoval Retamal,68,68,62,62
Sara Zoila Vargas Peña,59,53,54,53
Amanda Amalia Montenegro Zúñiga,55,43,55,55
Ramón Sánchez Parra,47,58,41,51
Manuel Juan Vargas Pérez,45,56,46,47
Felipe Jeremy Baeza Vargas,69,64,42,68
María Jacqueline Pérez Sánchez,70,65,58,65
Karol Teresa Núñez Araya,67,65,57,46
Cristóbal Osses Jiménez,45,44,45,60
María Chávez,40,66,68,43
Luis Gonzalo Silva Pérez,44,40,69,70
Mireya Urzúa Villegas,64,69,41,48
Jessica Sonia Campos Henríquez,43,66,57,49
María Daniela Rebolledo Novoa,70,66,66,40
Francisco Reinaldo Parra Toloza,55,59,58,47
Diana Rosa Astudillo Corvalán,50,60,42,40
Katherine Rojas,40,60,53,43
Bruno Venegas,49,54,42,42
Simón Luis Órdenes Pérez,52,70,44,54
Leticia Elizabeth Ramos Muñoz,50,55,63,61
Marcela Santana-Sepúlveda,44,60,66,56
Pedro Valdebenito Díaz,52,67,47,53
Roberto Víctor Silva Contreras,67,44,53,61
Joaquín José Maldonado Cortés,66,51,62,69
Raúl Rafael Torres Donoso,47,52,70,40
Alfonso Jorge Cáceres Órdenes,54,51,43,70
Juan Sánchez Carrillo,62,55,68,66
Pamela Martina Ramírez Carrasco,68,51,43,59
Magaly Donoso Concha,48,42,56,46
Nicole Alejandra Araya Cortés,40,43,52,60
Edelmira Navarrete,50,57,55,60
Matías Demian Loyola Fuenzalida,45,47,63,48
Elisa Vania Pavez Peñaloza,53,40,44,43
Angélica Ramos,45,52,47,68
Magaly Valentina Paz Canales,43,46,63,53
Sebastián Soto López,61,40,46,58
Víctor Sanhueza,54,53,56,50
Leonardo Matías Muñoz Suazo,58,52,53,48
Silvia Elizabeth León Herrera,69,53,41,45
Haydée Fabiola Campos Peralta,60,62,62,69
María Elsa Gallardo Mellado,69,43,51,54
Isaac Fuentes,40,49,64,41
Sebastián Ruiz Palma,54,61,57,66
